EN,SK
private,Súkromné
yes,Áno
no,Nie
grass,Tráva
clay,Antuka
the surface is clay,Antuka
indoor,Indoor
outdoor,Outdoor
pebblestone,Kamienky
dirt,Hlina
box,Škatuľa
field_hockey,Pozemný hokej
lake,Lake
Lake,Jazero
permissive,Povolené
customers,Zákazníci
unknown,Neznáme
permit,Povolenie
members,Členovia
students,Študenti
limited,Obmedzený
traffic park,Dopravný park
public bath,Verejná kúpeľňa
school,Škola
kindergarten,Materská škola
civic,Občiansky 
sports hall,Športová hala
retail,Maloobchod
sports centre,Športové centrum
roof,Strecha
commercial,Obchodné oddelenie
grandstand,Veľkonočná tribúna
stadium,Štadión
apartments,Byt
public,Verejné
hospital,Nemocnica
1,1
2,2
3,3
6,6
4,4
wlan,Bezdrôtová lokálna sieť
disused,nepoužívaný
áno,Áno
súkromné,Súkromné
povolené,Povolené
zákazníci,Zákazníci
nie,Nie
neznáme,Neznáme
povolenie,Povolenie
členovia,Členovia
študenti,Študenti
obmedzený,Obmedzený
škola,Škola.
materská škola,Materská škola
občiansky ,Občiansky
maloobchod,Maloobchod
strecha,Strecha
obchodné oddelenie,Obchodné oddelenie
veľkonočná tribúna,Veľkonočná tribúna
štadión,Štadión
byt,Byt
verejné,Verejné
nemocnica,Nem. 
bezdrôtová lokálna sieť,Bezdrôtová lokálna sieť
nepoužívaný,Nepoužívaný
water,Voda
beach,pláž
government,Vláda
municipality,Samospráva
required,Povinné
winter,Winter
artificial turf,Umelý trávnik
rubber,Guma
sand,Piesok
concrete,Betón
tartan,Tartan
fine gravel,Jemný štrk
asphalt,Asfalt
paved,Spevnené cesty
decoturf,Decoturf
ground,Nulová hladina
acrylic,Akryl
compacted,Zhutnené
wood,Drevo
stilmat,Stilmat
paving stones,Dlažobné kamene
concrete:plates,Betón:dosky
grass paver,Finišer na trávu
gravel,Štrk
syntetic,Syntetické
"grass, clay","Tráva, hlina"
acrilyc,Acrilyc
antuka,Antuka
personal,Osobný 
spa,Spa
kids,Deti
swimming,Plávanie
wading,Brodenie
children's pool,Detský bazén
covered,Pokryté
inground,Inground
plunge,Ponorte sa
swimming pool,Plavecký bazén
reservoir,Nádrž
pool,Bazén
mineral,Minerál
soccer,Futbal
tennis,Tenis
volleyball,Volejbal
10pin,10 pinov
multi,Multi
basketball,Basketbal
beachvolleyball,Plážový volejbal
ice_skating,Korčuľovanie
hockey,Hokej
handball,Hádzaná
SOM_training,Som_training
ladies_workout,Ladies_workout
trx,TRX...
football,Futbal
aerobic,Aerobic
running,Beh
ice_hockey,Ľadový hokej
badminton,Bedminton
table_tennis,Ping pong
tenis,Tenis
bowling,Bowling
athletics,Atletika
skateboard,Skejtbord
squash,Vtesnať
boules,Boules
fitness,Fitness
climbing,Lezenie
futsal,Futsal
yoga,Joga
equestrian,Jazdectvo
beachsoccer,Plážový futbal
bedminton,Bedminton
baseball,Baseball
basketbal,Basketbal
street_hockey,Hokejbal
hokejbal,Hokejbal
hokeyball,Hokeyball
halový_futbal,Halový_futbal
zápasenie,Zápasenie
miniature_golf,Miniatúrny golfComment
floorball,Florbal
skating,Korčuľovanie
roller_hockey,Roller_hockey
parkour,Parkour
gymnastics,gymnastika
netball,Netball
ball_hockey,Ball_hockey
roller_skating,Roller_skating
chess,Šach
petanque,Petanque
golf,Golf
exercise,Cvičenie
ballhockey,Hokejbal
dancing,Tanec
archery,Lukostreľba
futbal,Futbal. 
trampoline,Trampolína
4 eur,4 eur
10 eur / 2 hours / person,10 eur / 2 hodiny / osoba
3eur,3eur
16eur/day per person; 10eur/day per child,16eur/deň na osobu; 10eur/deň na dieťa
3 eur,3 eurá
"mo-fr 15:00-22:00, sa-su 08:00-22:00","Po-Pá 15:00-22:00, sa-su 08:00-22:00"
10 eur,10 €
tenis 6 eur/hod;bedminton 15 eur/hod,Tenis 6 eur/hod;bedminton 15 eur/hod
